principal component 1,principal component 2,principal component 3,Life expectancy change groups
0.3135471067747084,0.31002764517992987,1.789566542431794,1
-0.07334313033250692,0.5326411086402502,-0.1287316831009452,2
-1.4807019691694212,0.2850609056077921,0.43572594928497344,1
0.16569521785888322,0.8983145878539561,0.744588287724503,1
2.036259925385476,0.6762258799892102,-0.07567659993348506,2
-0.8910842818143411,-1.1414690186603254,1.1414631843067373,2
-2.334054950426827,0.33676315257445344,-1.057743310413,1
2.5746468671286387,-1.12467947962159,2.267780780053185,2
-0.21224333712803878,0.0487530644094278,0.42224185250624563,2
-0.9639436876427175,0.6631331926691,0.2170077408785987,1
-2.798790438426141,0.4535029109015562,-0.978271137606413,1
0.9025437517428984,-2.6664257736010537,-1.4271554633182275,2
0.862968127210713,0.005552677501390747,-0.05432956314129076,2
-0.995411699705398,1.25636292082173,-0.14371300713559526,1
-0.15305298907225445,0.5048321493919898,-0.007353722026386891,2
-0.158384282638385,-2.0972594433811667,-1.3007033515824287,2
-1.3414284289941554,0.3052915995005578,0.07088973242540617,1
2.0440479665911044,-2.3452636271098797,-0.840631406426148,2
-2.318775526227177,0.03262265144119498,-0.9456929325856416,2
-2.3897368328522774,-0.35786011714088806,-0.4815722864232223,2
-2.6954946698670437,-1.18024095916821,-0.6723100304569215,2
0.3408222048939,1.0300849673652275,-1.107630227897836,2
-0.9846504533132752,1.6370769378185748,-0.5770581694774847,0
-1.302454153152886,-1.0005910344454305,0.5602410740222701,2
4.246133849609267,-1.0141173235433392,-0.6898656948174229,3
-0.6852402625253875,0.48960709644383016,0.5977165746717935,1
-2.265078202111974,-0.20920153391782198,-0.8616070005644496,2
-0.03801992712355562,-0.5078562701688261,0.5241219172895718,2
-1.4960789410196018,0.8047592623384355,0.41229420464553856,2
1.1722016793043384,-0.10967183981958019,0.8432913953663271,2
-1.4109953758297404,0.02945719727051749,-0.39413881602436796,2
1.4819256814843114,0.9375771673261201,0.532659501329568,1
-1.247433205940091,-1.5770813610429786,0.9801309131161845,2
-2.068270280771983,-0.25141881746650885,-0.7005379318184358,1
0.7877632982738891,-1.023719008841981,2.8879963518986864,2
-2.1954523773333463,0.8750023770840762,-0.6962068070735898,1
-0.010089492164609666,-1.2789588857695349,2.7528958568211928,2
4.00347645993791,1.697840356896197,0.29569346116579753,3
-0.6427974615815071,1.0835108016692037,0.5393164244670724,2
-0.028232234439074556,0.39622293156236643,-0.05008944843612478,2
2.8056200707303622,2.8922566689953295,-1.3385617473103608,2
-0.36841302278590715,0.051969491613852704,1.546837332925729,1
-2.2272879248697595,-1.1111057493782264,-0.627690962619549,2
1.3473636716232815,-0.17879310591000908,0.9075267239325296,2
4.155006500043336,-3.690886857259002,-2.528554904207746,3
-1.9850253136546465,0.3475624039544029,-0.22262737504011437,2
-0.22363586162750043,2.3118522922667513,-0.08891163264432028,0
2.147902952488876,-0.2569369690035416,2.311697859804452,2
1.807583990929321,0.6213987041199907,0.9365109325842261,2
1.3692552172055112,-0.16792183119236168,2.2352537999478406,2
3.918708902396539,3.3236257912282974,-2.4821725858704498,2
-2.729734464811639,-0.5723104632615732,-0.8680496031424785,2
-2.0901868550102116,-0.23882656290774196,0.1883138412103597,2
-0.8968896691363257,-0.21811835996875598,0.5992844972889845,1
-0.009279126033730394,0.9969568577608734,0.3779753243267547,2
1.0184779243607904,2.0205412208751063,-0.3579532906006887,2
0.5432950010626239,1.5194927208608218,-0.15349119780269987,1
-0.7564181461688702,-0.04233681211314635,-0.4792239400357086,2
-1.9456790401762982,-1.202703457240918,0.4565174188073839,2
2.748822635472887,-0.054964698505651645,-0.9418956770600678,2
1.5822298566753055,-0.3827276651599841,-0.5072003812497244,3
1.83060661509116,-0.2986676478867148,-0.9376860368379013,3
-1.5865324640539002,-1.0191965727149357,0.603560711790248,2
-0.5703980205037621,0.028345311633564924,-0.031695587795711855,2
-2.1438357338258527,0.07238781520448256,-0.8737790136318384,2
0.24516483486632587,0.8025462086487607,-0.17879222914030554,2
-2.299337854286233,-0.5541070491300383,-0.8613015949974328,2
2.1400267683652485,-2.0631177935696043,-0.9206824368281669,3
1.545447924342309,-0.3621524568377966,-0.6228404088929299,2
-0.20855687163842185,1.3879591174150856,-0.30654782276068887,1
2.0051882549176003,-3.500225066033155,-0.6049101733445985,3
1.0797157034192644,2.1337954649378688,0.9464870050489445,1
